Date,Minf2,Pip2,Msup2,Trend2,Tail2,Minf1,Pip1,Psup1,Trend1,Tail1,Out
2019.12.30,41,231,221,Up,493,9,186,221,up,416,pert
2019.12.31,9,186,221,Up,416,87,410,11,down,508,gain
2020.01.02,87,410,11,down,508,308,164,75,down,547,pert
2020.01.03,308,164,75,down,547,75,322,86,up,483,gain
2020.01.06,75,322,86,Up,483,191,434,15,down,640,gain
2020.01.07,191,434,15,down,640,37,476,152,down,665,pert
2020.01.08,37,476,152,down,665,128,2,150,down,280,pert
2020.01.09,128,2,150,down,280,201,161,79,up,441,gain
2020.01.10,201,161,79,Up,441,35,176,131,up,342,pert
2020.01.13,35,176,131,Up,342,232,64,106,down,402,gain
2020.01.14,232,64,106,down,402,99,211,138,up,448,gain
2020.01.15,99,211,138,Up,448,80,134,234,down,448,gain
2020.01.16,80,134,234,down,448,31,459,73,down,563,pert
2020.01.17,31,459,73,down,563,154,24,80,up,258,gain
2020.01.20,154,24,80,Up,258,10,115,246,down,371,gain
2020.01.21,10,115,246,down,371,115,104,63,up,282,gain
2020.01.22,115,104,63,Up,282,179,378,167,down,724,gain
2020.01.23,179,378,167,down,724,59,287,75,down,421,pert
2020.01.24,59,287,75,down,421,88,111,80,down,279,pert
2020.01.27,88,111,80,down,279,208,35,31,up,274,gain
2020.01.28,208,35,31,Up,274,177,120,58,down,355,gain
2020.01.29,177,120,58,down,355,30,214,81,up,325,gain
2020.01.30,30,214,81,Up,325,145,630,8,up,783,pert
2020.01.31,145,630,8,Up,783,244,314,20,down,578,gain
2020.02.03,244,314,20,down,578,107,156,52,down,315,pert
2020.02.04,107,156,52,down,315,54,447,42,down,543,pert
2020.02.05,54,447,42,down,543,184,162,149,down,495,pert
2020.02.06,184,162,149,down,495,12,397,22,down,431,pert
2020.02.07,12,397,22,down,431,29,319,150,down,498,pert
2020.02.10,29,319,150,down,498,193,40,102,up,335,gain
2020.02.11,193,40,102,Up,335,77,418,109,down,604,gain
2020.02.12,77,418,109,down,604,69,308,171,down,548,pert
2020.02.13,69,308,171,down,548,29,107,204,down,340,pert
2020.02.14,29,107,204,down,340,55,51,112,down,218,pert
2020.02.17,55,51,112,down,218,55,438,27,down,520,pert
2020.02.18,55,438,27,down,520,85,133,78,up,296,gain
2020.02.19,85,133,78,Up,296,63,195,178,down,436,gain
2020.02.20,63,195,178,down,436,6,633,160,up,799,gain
2020.02.21,6,633,160,Up,799,201,270,200,up,671,pert
2020.02.24,201,270,200,Up,671,219,287,95,up,601,pert
2020.02.25,219,287,95,Up,601,257,1,280,up,538,pert
2020.02.26,257,1,280,Up,538,41,1186,68,up,1295,pert
2020.02.27,41,1186,68,Up,1295,490,295,238,up,1023,pert
2020.02.28,490,295,238,Up,1023,45,925,513,up,1483,pert
2020.03.02,45,925,513,Up,1483,363,396,420,up,1179,pert
2020.03.03,363,396,420,Up,1179,383,371,168,down,922,gain
2020.03.04,383,371,168,down,922,145,1031,76,up,1252,gain
2020.03.05,145,1031,76,Up,1252,257,531,645,up,1433,pert
2020.03.06,257,531,645,Up,1433,72,889,606,up,1567,pert
2020.03.09,72,889,606,Up,1567,162,1453,216,down,1831,gain
2020.03.10,162,1453,216,down,1831,107,298,757,down,1162,pert
2020.03.11,107,298,757,down,1162,1113,935,730,down,2778,pert
2020.03.12,1113,935,730,down,2778,476,661,525,down,1662,pert
2020.03.13,476,661,525,down,1662,931,109,478,down,1518,pert
2020.03.16,931,109,478,down,1518,502,1725,113,down,2340,pert
2020.03.17,502,1725,113,down,2340,1100,945,389,down,2434,pert
2020.03.18,1100,945,389,down,2434,48,2528,700,down,3276,pert
2020.03.19,48,2528,700,down,3276,239,321,1374,up,1934,gain
2020.03.20,239,321,1374,Up,1934,582,320,1017,up,1919,pert
2020.03.23,582,320,1017,Up,1919,0,599,1055,up,1654,pert
2020.03.24,0,599,1055,Up,1654,222,973,143,up,1338,pert
2020.03.25,222,973,143,Up,1338,97,1494,295,up,1886,pert
2020.03.26,97,1494,295,Up,1886,757,1141,39,up,1937,pert
2020.03.27,757,1141,39,Up,1937,328,732,280,down,1340,gain
2020.03.30,328,732,280,down,1340,1083,65,123,down,1271,pert
2020.03.31,1083,65,123,down,1271,589,683,91,down,1363,pert
2020.04.01,589,683,91,down,1363,363,1051,59,down,1473,pert
2020.04.02,363,1051,59,down,1473,400,423,91,down,914,pert
2020.04.03,400,423,91,down,914,238,168,266,down,672,pert
2020.04.06,238,168,266,down,672,86,984,355,up,1425,gain
2020.04.07,86,984,355,Up,1425,267,338,117,down,722,gain
2020.04.08,267,338,117,down,722,150,726,230,up,1106,gain
2020.04.09,150,726,230,Up,1106,101,61,175,up,337,pert
2020.04.10,101,61,175,Up,337,195,308,248,down,751,gain
2020.04.13,195,308,248,down,751,133,678,72,up,883,gain
2020.04.14,133,678,72,Up,883,504,728,113,down,1345,gain
2020.04.15,504,728,113,down,1345,220,690,35,down,945,pert
2020.04.16,220,690,35,down,945,267,353,186,up,806,gain
2020.04.17,267,353,186,Up,806,196,18,340,down,554,gain
2020.04.20,196,18,340,down,554,400,47,190,down,637,pert
2020.04.21,400,47,190,down,637,197,334,288,down,819,pert
2020.04.22,197,334,288,down,819,200,466,240,down,906,pert
2020.04.23,200,466,240,down,906,491,484,13,up,988,gain
2020.04.24,491,484,13,Up,988,96,72,322,up,490,pert
2020.04.27,96,72,322,Up,490,86,93,608,down,787,gain
2020.04.28,86,93,608,down,787,1,548,127,up,676,gain
