Date,Minf2,Pip2,Msup2,Trend2,Tail2,Minf1,Pip1,Psup1,Trend1,Tail1,Out,High1,Low1,High2,Low2,Open1,Close1,slTmp,tpTmp
2017.12.28,1,557,167,Up,725,60,623,210,up,893,pert,120255,119362,119589,118864,119422,120045,833,60
2017.12.29,60,623,210,Up,893,81,491,233,up,805,pert,120812,120007,120255,119362,120088,120579,724,81
2018.01.02,81,491,233,Up,805,132,437,82,down,651,gain,120661,120010,120812,120007,120579,120142,82,569
2018.01.03,132,437,82,down,651,99,536,211,up,846,gain,120889,120043,120661,120010,120142,120678,99,747
2018.01.04,99,536,211,Up,846,92,380,150,down,622,gain,120828,120206,120889,120043,120678,120298,150,472
2018.01.05,92,380,150,down,622,113,599,255,down,967,pert,120523,119556,120828,120206,120268,119669,712,255
2018.01.08,113,599,255,down,967,209,305,87,down,601,pert,119756,119155,120523,119556,119669,119364,514,87
2018.01.09,209,305,87,down,601,132,110,707,up,949,gain,120181,119232,119756,119155,119364,119474,132,817
2018.01.10,132,110,707,Up,949,181,840,274,up,1295,pert,120588,119293,120181,119232,119474,120314,1114,181
2018.01.11,181,840,274,Up,1295,6,1686,185,up,1877,pert,122185,120308,120588,119293,120314,122000,1871,6
2018.01.12,6,1686,185,Up,1877,57,694,339,up,1090,pert,122965,121875,122185,120308,121932,122626,1033,57
2018.01.15,57,694,339,Up,1090,644,31,208,down,883,gain,122834,121951,122965,121875,122626,122595,208,675
2018.01.16,644,31,208,down,883,74,752,636,down,1462,pert,123231,121769,122834,121951,122595,121843,826,636
2018.01.17,74,752,636,down,1462,191,526,279,up,996,gain,122648,121652,123231,121769,121843,122369,191,805
2018.01.18,191,526,279,Up,996,75,145,585,down,805,gain,122954,122149,122648,121652,122369,122224,585,220
2018.01.19,75,145,585,down,805,476,83,10,down,569,pert,122708,122139,122954,122149,122698,122615,559,10
2018.01.22,476,83,10,down,569,385,368,79,up,832,gain,123062,122230,122708,122139,122615,122983,385,447
2018.01.23,385,368,79,Up,832,67,1091,79,up,1237,pert,124149,122912,123062,122230,122979,124070,1170,67
2018.01.24,67,1091,79,Up,1237,288,144,1308,down,1740,gain,125378,123638,124149,122912,124070,123926,1308,432
2018.01.25,288,144,1308,down,1740,227,338,674,up,1239,gain,124938,123699,125378,123638,123926,124264,227,1012
2018.01.26,227,338,674,Up,1239,445,446,62,down,953,gain,124321,123368,124938,123699,124259,123813,62,891
2018.01.29,445,446,62,down,953,465,208,519,up,1192,gain,124540,123348,124321,123368,123813,124021,465,727
2018.01.30,465,208,519,Up,1192,147,115,616,up,878,pert,124748,123870,124540,123348,124017,124132,731,147
2018.01.31,147,115,616,Up,878,278,946,142,up,1366,pert,125220,123854,124748,123870,124132,125078,1088,278
2018.02.01,278,946,142,Up,1366,469,513,108,down,1090,gain,125181,124091,125220,123854,125073,124560,108,982
2018.02.02,469,513,108,down,1090,40,679,405,down,1124,pert,124749,123625,125181,124091,124344,123665,719,405
2018.02.05,40,679,405,down,1124,519,110,578,up,1207,gain,124346,123139,124749,123625,123658,123768,519,688
2018.02.06,519,110,578,Up,1207,170,1141,292,down,1603,gain,124060,122457,124346,123139,123768,122627,292,1311
2018.02.07,170,1141,292,down,1603,346,153,328,down,827,pert,122948,122121,124060,122457,122620,122467,499,328
2018.02.08,346,153,328,down,827,413,31,375,up,819,gain,122873,122054,122948,122121,122467,122498,413,406
2018.02.09,413,31,375,Up,819,92,464,67,up,623,pert,122973,122350,122873,122054,122442,122906,531,92
2018.02.12,92,464,67,Up,623,61,595,209,up,865,pert,123710,122845,122973,122350,122906,123501,804,61
2018.02.13,61,595,209,Up,865,739,997,157,up,1893,pert,124651,122758,123710,122845,123497,124494,1154,739
2018.02.14,739,997,157,Up,1893,11,571,40,up,622,pert,125102,124480,124651,122758,124491,125062,611,11
2018.02.15,11,571,40,Up,622,171,957,492,down,1620,gain,125554,123934,125102,124480,125062,124105,492,1128
2018.02.16,171,957,492,down,1620,317,62,282,up,661,gain,124352,123691,125554,123934,124008,124070,317,344
2018.02.19,317,62,282,Up,661,171,701,55,down,927,gain,124123,123196,124352,123691,124068,123367,55,872
2018.02.20,171,701,55,down,927,12,545,231,down,788,pert,123598,122810,124123,123196,123367,122822,557,231
